yaw,pitch
90.06226760968933,-75.2172982272862
90.4467424862941,-76.05344131741411
91.23863757281927,-75.84371324474057
92.05250032689172,-78.08946572894651
92.0867771780366,-80.6253472562051
92.79349532410204,-82.4465043256667
92.7417103553137,-83.44860624347793
93.0413430405294,-85.20725191919024
92.75248858282777,-84.72556726072062
93.0153439510993,-84.12414774489613
93.0642361000368,-82.68814646593457
92.33479527582568,-80.3599699543943
91.8214551989779,-78.01261820987719
91.11648204196626,-76.1834066027427
90.81162362158616,-75.21031798605269
90.0587154334457,-74.77437618141838
89.12899300131276,-74.77379453612768
88.38849936322653,-76.37181516778683
88.03070109183545,-78.29398044756492
87.34303762453139,-80.29577363957806
87.26113276657657,-82.87651162127517
86.80322900581851,-84.78451798025127
87.16467615781734,-85.36938850456022
87.0019108118905,-84.21784428355288
87.23070231104755,-84.4081899270855
87.30261041825892,-82.11075007158318
87.42525110797632,-80.11702148386931
88.30142949340332,-79.03603012283237
88.98066069959333,-76.29353079271864
89.39669313695583,-76.3392358826462
90.30972897173743,-75.53685626783783
90.70686869832683,-75.57566895704686
91.53977471614029,-76.3423302059714
91.88494294937216,-78.56056456702365
92.15783166222147,-80.535350540293
92.90981606055861,-83.41883888559391
93.28965439568738,-84.05355750036688
92.9391209597219,-85.63946114990993
92.96620603252777,-84.9692938525026
92.51221140740242,-83.88635933835769
92.51714912485151,-81.3447741412821
92.46985110201153,-79.12505526765162
91.83802915220909,-77.68819012466213
91.29812893792672,-76.2951280050152
90.4125499480221,-74.9862469512441
90.02766654911436,-75.00508405920588
89.30829040110211,-75.84812452333881
88.8351056178323,-76.81087811019984
88.41260413059685,-78.44171468959156
87.83741441118381,-80.08054951317646
87.2990399214998,-83.01975637183625
87.50027356408036,-84.26120507023444
86.9503773791865,-84.4621359304016
87.17574792770297,-85.00749554837269
87.29923814172639,-84.51309766987276
87.39022918131411,-81.85634199825213
87.92716600387384,-80.97359419989053
88.38975003906944,-77.6320436733643
88.96781402565918,-76.5100843643566
89.28867712833805,-75.15302103454674
90.25910410417201,-74.40113550515191
90.80735700502748,-74.75094901969403
91.24739893002227,-77.16146484537042
92.15573349518176,-79.46175582133415
92.58021286576458,-80.19255743204114
92.81925698906745,-82.67049169440665
92.80692915693692,-84.71263685082911
93.23809980501838,-85.6210514551688
92.8871914086748,-85.4425652645531
92.63025299533221,-83.79522734924336
92.47634079211073,-81.27189754494043
92.05633348859524,-80.02805098435944
92.07249569194138,-76.68449141934492
91.19279822576719,-77.84003354902529
90.31768408000517,-74.54083773664186
90.05670900224371,-75.83411183737057
89.19473022098738,-75.87515888129593
88.29298968823198,-76.99481727368122
88.28278070936766,-79.18692948283078
87.89839552633916,-80.9970671541752
87.1250664333452,-83.30501565910404
87.39489803999774,-85.04951290949333
87.34995942539061,-84.98431639015254
87.06028179249287,-83.91164222415426
87.1647379754387,-82.7082411342537
87.67041947775441,-82.59542827764216
87.8971825184723,-79.66952004641904
88.63732643395548,-77.33265130081261
88.58578320363415,-75.53762740976373
89.6987854343245,-74.44214966680532
90.27192081203248,-75.23372411251415
90.80361257163541,-74.90886213993215
91.58294329603491,-77.36385979658793
91.80603276945834,-79.25587218286762
92.22296802274607,-81.05763100499195
92.48703491454839,-83.02660100263097
93.02365368100018,-84.7988202868101
93.2322348989012,-84.84042149942564
92.90276522417675,-84.57285497385963
93.02670985034494,-83.53639014912262
92.61035102516,-81.7491208345729
92.20039417644118,-79.89274455330009
91.48405382309205,-77.59296911879443
91.25124127134745,-75.31128336200928
90.21306751856488,-75.62251126774615
89.92152044922194,-74.2379348261059
89.21354634188111,-75.32180634259038
88.75673626460137,-77.03981230039653
88.12358007190814,-78.35085123111409
87.63319023651468,-81.5649034706868
87.55056848711767,-83.16164146775367
86.92427441776515,-83.30560014994651
86.94031989930022,-84.6232525052726
87.15513585965242,-84.94754157576376
86.87008377632804,-83.9477723598882
87.21736560858757,-81.53913077622255
88.02444315012343,-79.17446684134842
89.0384239510161,-77.94191573534984
89.23409880274157,-76.06857378877417
89.7397031829714,-75.4812739759643
90.50549666684402,-74.61602221425667
90.55236327389976,-77.14322328163173
91.54801298426949,-77.57322717109267
91.90636082325818,-79.40819879355539
93.23276451963173,-80.67432315666512
92.80484536493876,-83.20556962494943
92.99749622998944,-84.28010692486274
93.0407364134955,-85.25778262994902
93.23738166297571,-84.64663029264965
92.59768182925413,-83.91201897836801
92.45571687084806,-80.47484863631418
92.15249544513507,-79.90885321540536
